0, 0, 0.
-1097, 2487, 2366.
-1098, 3695, 4680.
-1099, 3666, 1148.
-1135, 4873, -139.
-1141, 3600, -1209.
-1156, 2478, 1130.
-1173, 3648, 41.
-1177, 6042, -128.
-1199, 2325, 3627.
-1202, 3555, -2392.
-1202, 3573, 3486.
-1246, 2338, 41.
-1266, 1223, -49.
-23, 1105, -2489.
-2312, 3669, -1251.
-2334, 3696, -118.
-2363, 2415, 0.
-24, -1147, 26.
-2426, 2300, -1153.
-2433, 4869, -3.
-26, -1175, -1206.
-3486, 3518, -1208.
-36, 1231, -1242.
-3658, 3672, -148.
-37, 3578, -136.
-67, 4819, 10.
-73, -11, -1222.
-83, 2372, -1348.
1239, 1104, -109.
2, 1232, -139.
41, 2378, -71.
48, 3656, 1068.
65, 2406, 1162.
